Intervalo Educacional;Países;Salário;Índice Criminal
8.86;Chad;Low income;51.88
8.754255;Comoros;Low income;51.73
8.69649;Dem. People\'s Rep. Korea;Low income;51.49
6.486408;Dem. Rep. of the Congo;Low income;51.41
6.34;Eritrea;Low income;51.4
6.504568;Ethiopia;Low income;51.35
6.5293627;Gambia;Low income;51.35
6.55;Guinea;Low income;51.29
7.6339335;Guinea-Bissau;Low income;51.28
7.6372886;Haiti;Low income;51.16
11.240217;Liberia;Low income;50.82
11.36;Madagascar;Low income;50.64
11.6930065;Malawi;Low income;50.29
11.719313;Mali;Low income;49.68
4.089244;Mozambique;Low income;49.45
5.74;Nepal;Low income;49.32
4.5254297;Niger;Low income;49.29
4.5254297;Rwanda;Low income;49.23
4.51;Senegal;Low income;48.92
4.4886994;Sierra Leone;Low income;48.87
4.3491125;Somalia;Low income;48.85
10.595933;South Sudan;Low income;48.81
11.227396;Syrian Arab Republic;Low income;48.65
11.104548;Tajikistan;Lower middle income;48.63
10.7801485;Togo;Low income;48.61
10.847823;Uganda;Low income;48.6
11.171384;Yemen;Low income;48.57
11.0168705;;;48.41
10.806525;;;48.39
6.951136;;;48.37
12.208893;;;48.36
12.05;;;48.24
12.047586;;;48.13
11.738752;;;47.77
11.24583;;;47.62
11.3;;;47.55
11.17285;;;47.42
11.2687235;;;47.34
6.03;;;47.2
6.024927;;;47.2
6.024927;;;47.16
4.263064;;;47.15
4.84;;;47.14
5.003186;;;47.13
5.3754196;;;46.99
7.8855686;;;46.92
8.88;;;46.88
9.153195;;;46.84
8.273992;;;46.84
11.262253;;;46.76
11.74;;;46.76
11.264978;;;46.75
11.03309;;;46.68
5.7;;;46.67
5.826932;;;46.62
5.9587283;;;46.6
10.464372;;;46.59
9.77;;;46.57
10.073087;;;46.45
9.964251;;;46.45
7.741019;;;46.24
8.273588;;;46.19
6.0727935;;;45.97
6.29;;;45.93
6.2009287;;;45.9
6.29769;;;45.77
4.54;;;45.72
4.6119046;;;45.69
4.56822;;;45.45
6.69;;;45.28
6.7632494;;;45.21
6.7632494;;;45.04
6.29;;;44.9
6.1498604;;;44.87
6.1498604;;;44.74
10.798922;;;44.56
11.209903;;;44.5
11.049602;;;44.39
10.811929;;;44.12
6.38;;;44.06
6.133804;;;43.98
6.133804;;;43.87
11.556189;;;43.86
12.07;;;43.46
12.043218;;;43.34
11.886783;;;43.25
10.68446;;;43.06
10.74;;;42.7
10.6924305;;;42.65
10.271568;;;42.56
10.965888;;;42.51
10.65;;;42.24
10.705074;;;42.13
10.718311;;;42.09
5.78;;;41.81
6.9247475;;;41.61
7.1021705;;;41.56
7.230374;;;41.52
7.93;;;41.52
7.93458;;;41.41
7.8277683;;;41.38
7.9503584;;;41.36
8.07;;;41.29
8.192462;;;41.26
8.192462;;;41.21
4.0;;;41.19
4.004375;;;41.16
4.0308604;;;41.15
11.299463;;;40.98
11.8;;;40.97
11.959568;;;40.86
11.594797;;;40.78
10.416695;;;40.56
11.08;;;40.45
11.087428;;;40.43
10.586509;;;40.28
